SCHNAME,PostalCode,ATT8SCR,Year,oa11cd,City,County
Nancealverne School,TR208TP,40.52482269503546,2023,E00095853,Cornwall 067,Cornwall
Newquay Tretherras,TR73BH,47.5,2023,E00096098,Cornwall 021,Cornwall
Oak Tree School,TR49NH,9.3,2023,E00095009,Cornwall 043,Cornwall
Penair School,TR11TN,45.3,2023,E00095190,Cornwall 042,Cornwall
Pencalenick School,TR11TE,2.7,2023,E00095149,Cornwall 048,Cornwall
Penrice Academy,PL253NR,53.4,2023,E00096229,Cornwall 039,Cornwall
Penryn College,TR108PZ,49,2023,E00095092,Cornwall 060,Cornwall
Poltair School,PL254BZ,44.1,2023,E00096242,Cornwall 038,Cornwall
Pool Academy,TR153PZ,37.9,2023,E00095424,Cornwall 051,Cornwall
Red Moor School,PL305BT,40.52482269503546,2023,E00096184,Cornwall 027,Cornwall
Redruth School,TR151TA,45.2,2023,E00095477,Cornwall 046,Cornwall
Richard Lander School,TR36LT,49.5,2023,E00095018,Cornwall 043,Cornwall
The Roseland Academy,TR25SE,50.4,2023,E00095136,Cornwall 048,Cornwall
St Ives School,TR262BB,47.4,2023,E00096063,Cornwall 054,Cornwall
St Josephs School,PL158HN,55.4,2023,E00095678,Cornwall 005,Cornwall
St Piran's School (Gb) Ltd,TR274HY,40.52482269503546,2023,E00095891,Cornwall 057,Cornwall
Saltash Community School,PL124AY,40.4,2023,E00094856,Cornwall 026,Cornwall
Sir James Smith's School,PL329UJ,37.5,2023,E00095640,Cornwall 004,Cornwall
Taliesin Education Ltd,PL144DA,40.52482269503546,2023,E00094764,Cornwall 017,Cornwall
Torpoint Community College,PL112NH,41.6,2023,E00094897,Cornwall 029,Cornwall
Treviglas Academy,TR73JA,45.7,2023,E00096263,Cornwall 018,Cornwall
Truro High School,TR12HU,45.9,2023,E00094949,Cornwall 044,Cornwall
Truro School,TR11TH,34.8,2023,E00095188,Cornwall 042,Cornwall
Wadebridge School,PL276BU,46.1,2023,E00095814,Cornwall 009,Cornwall
